time,latitude,BEUTI
UTC,degrees_north,mmol m-1 s-1
1997-11-15T00:00:00Z,33.0,0.001
1997-11-15T00:00:00Z,39.0,0.001
1997-11-15T00:00:00Z,45.0,-0.063
1997-12-15T00:00:00Z,33.0,0.011
1997-12-15T00:00:00Z,39.0,0.414
1997-12-15T00:00:00Z,45.0,-0.036
1998-01-15T00:00:00Z,33.0,0.013
1998-01-15T00:00:00Z,39.0,-1.915
1998-01-15T00:00:00Z,45.0,-1.806
1998-02-15T00:00:00Z,33.0,0.347
1998-02-15T00:00:00Z,39.0,0.463
1998-02-15T00:00:00Z,45.0,-2.445
1998-03-15T00:00:00Z,33.0,0.252
1998-03-15T00:00:00Z,39.0,7.275
1998-03-15T00:00:00Z,45.0,0.206
1998-04-15T00:00:00Z,33.0,0.474
1998-04-15T00:00:00Z,39.0,13.526
1998-04-15T00:00:00Z,45.0,0.972
1998-05-15T00:00:00Z,33.0,0.157
1998-05-15T00:00:00Z,39.0,5.483
1998-05-15T00:00:00Z,45.0,0.933
1998-06-15T00:00:00Z,33.0,0.033
1998-06-15T00:00:00Z,39.0,12.388
1998-06-15T00:00:00Z,45.0,0.73
1998-07-15T00:00:00Z,33.0,0.014
1998-07-15T00:00:00Z,39.0,12.661
1998-07-15T00:00:00Z,45.0,0.317
1998-08-15T00:00:00Z,33.0,0.003
1998-08-15T00:00:00Z,39.0,9.411
1998-08-15T00:00:00Z,45.0,0.989
1998-09-15T00:00:00Z,33.0,0.002
1998-09-15T00:00:00Z,39.0,4.257
1998-09-15T00:00:00Z,45.0,0.611
1998-10-15T00:00:00Z,33.0,0.014
1998-10-15T00:00:00Z,39.0,5.01
1998-10-15T00:00:00Z,45.0,0.027
1998-11-15T00:00:00Z,33.0,0.098
1998-11-15T00:00:00Z,39.0,0.784
1998-11-15T00:00:00Z,45.0,-1.347
1998-12-15T00:00:00Z,33.0,0.641
1998-12-15T00:00:00Z,39.0,12.337
1998-12-15T00:00:00Z,45.0,-1.204
1999-01-15T00:00:00Z,33.0,0.597
1999-01-15T00:00:00Z,39.0,7.52
1999-01-15T00:00:00Z,45.0,-4.935
1999-02-15T00:00:00Z,33.0,2.234
1999-02-15T00:00:00Z,39.0,1.289
1999-02-15T00:00:00Z,45.0,-22.082
1999-03-15T00:00:00Z,33.0,1.742
1999-03-15T00:00:00Z,39.0,8.838
1999-03-15T00:00:00Z,45.0,-7.916
1999-04-15T00:00:00Z,33.0,2.963
1999-04-15T00:00:00Z,39.0,47.667
1999-04-15T00:00:00Z,45.0,9.036
1999-05-15T00:00:00Z,33.0,0.593
1999-05-15T00:00:00Z,39.0,47.661
1999-05-15T00:00:00Z,45.0,4.199
1999-06-15T00:00:00Z,33.0,0.374
1999-06-15T00:00:00Z,39.0,34.132
1999-06-15T00:00:00Z,45.0,1.005
1999-07-15T00:00:00Z,33.0,0.045
1999-07-15T00:00:00Z,39.0,17.461
1999-07-15T00:00:00Z,45.0,0.617
1999-08-15T00:00:00Z,33.0,0.029
1999-08-15T00:00:00Z,39.0,4.53
1999-08-15T00:00:00Z,45.0,0.242
1999-09-15T00:00:00Z,33.0,0.008
1999-09-15T00:00:00Z,39.0,8.033
1999-09-15T00:00:00Z,45.0,1.58
1999-10-15T00:00:00Z,33.0,0.011
1999-10-15T00:00:00Z,39.0,5.147
1999-10-15T00:00:00Z,45.0,0.488
1999-11-15T00:00:00Z,33.0,0.126
1999-11-15T00:00:00Z,39.0,-0.527
1999-11-15T00:00:00Z,45.0,-2.655
1999-12-15T00:00:00Z,33.0,0.642
1999-12-15T00:00:00Z,39.0,11.529
1999-12-15T00:00:00Z,45.0,0.301
2000-01-15T00:00:00Z,33.0,1.18
2000-01-15T00:00:00Z,39.0,1.528
2000-01-15T00:00:00Z,45.0,-3.466
2000-02-15T00:00:00Z,33.0,0.836
2000-02-15T00:00:00Z,39.0,-1.583
2000-02-15T00:00:00Z,45.0,-3.53
2000-03-15T00:00:00Z,33.0,1.859
2000-03-15T00:00:00Z,39.0,27.973
2000-03-15T00:00:00Z,45.0,1.511
2000-04-15T00:00:00Z,33.0,0.563
2000-04-15T00:00:00Z,39.0,9.752
2000-04-15T00:00:00Z,45.0,2.633
2000-05-15T00:00:00Z,33.0,0.248
2000-05-15T00:00:00Z,39.0,16.397
2000-05-15T00:00:00Z,45.0,0.741
2000-06-15T00:00:00Z,33.0,0.012
2000-06-15T00:00:00Z,39.0,13.302
2000-06-15T00:00:00Z,45.0,0.941
2000-07-15T00:00:00Z,33.0,0.007
2000-07-15T00:00:00Z,39.0,17.572
