year,index,sd.w,n,SDup,SDlo,se,SEup,SElo,CLup,CLlo,timeseries,metric
2006,0.1045,0.3026,42,0.4071,-0.1981,0.047,0.151,0.058,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2007,0.0499,0.2885,44,0.3384,-0.2386,0.043,0.093,0.006,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2008,0.0000,0.0000,44,0.0000,0.0000,,0.000,0.000,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2009,0.1094,0.3630,44,0.4724,-0.2536,0.055,0.164,0.055,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2010,0.0000,0.0000,44,0.0000,0.0000,,0.000,0.000,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2011,0.0000,0.0000,43,0.0000,0.0000,,0.000,0.000,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2012,0.0175,0.0736,43,0.0911,-0.0560,0.011,0.029,0.006,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2013,0.1789,0.4462,44,0.6250,-0.2673,0.067,0.246,0.112,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2014,0.0073,0.0478,43,0.0550,-0.0405,0.007,0.015,0.000,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2015,0.0000,0.0000,39,0.0000,0.0000,,0.000,0.000,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2016,0.1231,0.3429,40,0.4660,-0.2198,0.054,0.177,0.069,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2017,0.0196,0.1273,42,0.1469,-0.1076,0.020,0.039,0.000,,,YOY sablefish,catch (Log10(no. km-1+ 1)
2018,0.0243,0.1203,42,0.1447,-0.0960,0.019,0.043,0.006,,,YOY sablefish,catch (Log10(no. km-1+ 1)
