time,index,timeseries
1991-04-16T00:00:00Z,1.941,NOI
1991-05-16T12:00:00Z,1.095,NOI
1991-06-16T00:00:00Z,-0.023,NOI
1991-07-16T12:00:00Z,-0.747,NOI
1991-08-16T12:00:00Z,-0.86,NOI
1991-09-16T00:00:00Z,-1.395,NOI
1991-10-16T12:00:00Z,-0.972,NOI
1991-11-16T00:00:00Z,1.876,NOI
1991-12-16T12:00:00Z,-3.824,NOI
1992-01-16T12:00:00Z,-4.153,NOI
1992-02-15T12:00:00Z,-8.402,NOI
1992-03-16T12:00:00Z,-8.343,NOI
1992-04-16T00:00:00Z,-3.277,NOI
1992-05-16T12:00:00Z,-2.12,NOI
1992-06-16T00:00:00Z,-2.053,NOI
1992-07-16T12:00:00Z,-2.161,NOI
1992-08-16T12:00:00Z,0.417,NOI
1992-09-16T00:00:00Z,0.281,NOI
1992-10-16T12:00:00Z,-2.741,NOI
1992-11-16T00:00:00Z,0.899,NOI
1992-12-16T12:00:00Z,-0.86,NOI
1993-01-16T12:00:00Z,-6.047,NOI
1993-02-15T00:00:00Z,-7.894,NOI
1993-03-16T12:00:00Z,-2.469,NOI
1993-04-16T00:00:00Z,-0.714,NOI
1993-05-16T12:00:00Z,-7.225,NOI
1993-06-16T00:00:00Z,-1.215,NOI
1993-07-16T12:00:00Z,-0.212,NOI
1993-08-16T12:00:00Z,-2.359,NOI
1993-09-16T00:00:00Z,-0.408,NOI
1993-10-16T12:00:00Z,-3.037,NOI
1993-11-16T00:00:00Z,-0.252,NOI
1993-12-16T12:00:00Z,0.24,NOI
1994-01-16T12:00:00Z,1.699,NOI
1994-02-15T00:00:00Z,-1.061,NOI
1994-03-16T12:00:00Z,-1,NOI
1994-04-16T00:00:00Z,-0.003,NOI
1994-05-16T12:00:00Z,-0.914,NOI
1994-06-16T00:00:00Z,1,NOI
1994-07-16T12:00:00Z,-0.782,NOI
1994-08-16T12:00:00Z,-0.926,NOI
1994-09-16T00:00:00Z,-1.407,NOI
1994-10-16T12:00:00Z,-1.6,NOI
1994-11-16T00:00:00Z,1.356,NOI
1994-12-16T12:00:00Z,-2.533,NOI
1995-01-16T12:00:00Z,-11.749,NOI
1995-02-15T00:00:00Z,-2.736,NOI
1995-03-16T12:00:00Z,-4.533,NOI
1995-04-16T00:00:00Z,-0.973,NOI
1995-05-16T12:00:00Z,-1.434,NOI
1995-06-16T00:00:00Z,-0.292,NOI
1995-07-16T12:00:00Z,-1.075,NOI
1995-08-16T12:00:00Z,-1.785,NOI
1995-09-16T00:00:00Z,-0.161,NOI
1995-10-16T12:00:00Z,1.311,NOI
1995-11-16T00:00:00Z,0.83,NOI
1995-12-16T12:00:00Z,-1.399,NOI
1996-01-16T12:00:00Z,1.09,NOI
1996-02-15T12:00:00Z,-3.874,NOI
1996-03-16T12:00:00Z,-1.118,NOI
1996-04-16T00:00:00Z,0.299,NOI
1996-05-16T12:00:00Z,-1.566,NOI
1996-06-16T00:00:00Z,1.471,NOI
1996-07-16T12:00:00Z,0.022,NOI
1996-08-16T12:00:00Z,0.936,NOI
1996-09-16T00:00:00Z,1.729,NOI
1996-10-16T12:00:00Z,2.151,NOI
1996-11-16T00:00:00Z,1.419,NOI
1996-12-16T12:00:00Z,-1.733,NOI
1997-01-16T12:00:00Z,-2.977,NOI
1997-02-15T00:00:00Z,6.571,NOI
1997-03-16T12:00:00Z,2.004,NOI
1997-04-16T00:00:00Z,-0.95,NOI
1997-05-16T12:00:00Z,-4.599,NOI
1997-06-16T00:00:00Z,-2.225,NOI
1997-07-16T12:00:00Z,-0.972,NOI
1997-08-16T12:00:00Z,-3.764,NOI
1997-09-16T00:00:00Z,-4.213,NOI
1997-10-16T12:00:00Z,-1.741,NOI
1997-11-16T00:00:00Z,-8.608,NOI
1997-12-16T12:00:00Z,-2.092,NOI
1998-01-16T12:00:00Z,-8.112,NOI
1998-02-15T00:00:00Z,-10.934,NOI
1998-03-16T12:00:00Z,-3.578,NOI
1998-04-16T00:00:00Z,-0.944,NOI
1998-05-16T12:00:00Z,-2.547,NOI
1998-06-16T00:00:00Z,1.351,NOI
1998-07-16T12:00:00Z,0.856,NOI
1998-08-16T12:00:00Z,1.58,NOI
1998-09-16T00:00:00Z,-1.561,NOI
1998-10-16T12:00:00Z,1.96,NOI
1998-11-16T00:00:00Z,0.938,NOI
1998-12-16T12:00:00Z,8.101,NOI
1999-01-16T12:00:00Z,4.302,NOI
1999-02-15T00:00:00Z,3.174,NOI
1999-03-16T12:00:00Z,0.822,NOI
1999-04-16T00:00:00Z,4.186,NOI
1999-05-16T12:00:00Z,2.295,NOI
1999-06-16T00:00:00Z,0.057,NOI
1999-07-16T12:00:00Z,-0.469,NOI
1999-08-16T12:00:00Z,-1.651,NOI
1999-09-16T00:00:00Z,-1.65,NOI
1999-10-16T12:00:00Z,0.012,NOI
1999-11-16T00:00:00Z,-2.029,NOI
1999-12-16T12:00:00Z,6.942,NOI
