time,latitude,CUTI
UTC,degrees_north,m2 s-1
1996-03-15T00:00:00Z,39.0,0.791
1996-03-15T00:00:00Z,45.0,-0.028
1996-04-15T00:00:00Z,33.0,0.446
1996-04-15T00:00:00Z,39.0,0.581
1996-04-15T00:00:00Z,45.0,-0.48
1996-05-15T00:00:00Z,33.0,0.388
1996-05-15T00:00:00Z,39.0,1.841
1996-05-15T00:00:00Z,45.0,0.429
1996-06-15T00:00:00Z,33.0,0.347
1996-06-15T00:00:00Z,39.0,2.06
1996-06-15T00:00:00Z,45.0,0.551
1996-07-15T00:00:00Z,33.0,0.195
1996-07-15T00:00:00Z,39.0,1.149
1996-07-15T00:00:00Z,45.0,0.623
1996-08-15T00:00:00Z,33.0,0.231
1996-08-15T00:00:00Z,39.0,1.315
1996-08-15T00:00:00Z,45.0,0.395
1996-09-15T00:00:00Z,33.0,0.229
1996-09-15T00:00:00Z,39.0,0.693
1996-09-15T00:00:00Z,45.0,0.267
1996-10-15T00:00:00Z,33.0,0.399
1996-10-15T00:00:00Z,39.0,0.814
1996-10-15T00:00:00Z,45.0,0.134
1996-11-15T00:00:00Z,33.0,0.352
1996-11-15T00:00:00Z,39.0,0.654
1996-11-15T00:00:00Z,45.0,0.097
1996-12-15T00:00:00Z,33.0,0.139
1996-12-15T00:00:00Z,39.0,-0.353
1996-12-15T00:00:00Z,45.0,-0.591
1997-01-15T00:00:00Z,33.0,0.299
1997-01-15T00:00:00Z,39.0,0.197
1997-01-15T00:00:00Z,45.0,-0.194
1997-02-15T00:00:00Z,33.0,0.637
1997-02-15T00:00:00Z,39.0,1.277
1997-02-15T00:00:00Z,45.0,0.185
1997-03-15T00:00:00Z,33.0,0.245
1997-03-15T00:00:00Z,39.0,1.101
1997-03-15T00:00:00Z,45.0,-0.285
1997-04-15T00:00:00Z,33.0,0.593
1997-04-15T00:00:00Z,39.0,1.624
1997-04-15T00:00:00Z,45.0,0.119
1997-05-15T00:00:00Z,33.0,0.24
1997-05-15T00:00:00Z,39.0,0.522
1997-05-15T00:00:00Z,45.0,0.148
1997-06-15T00:00:00Z,33.0,0.387
1997-06-15T00:00:00Z,39.0,1.8
1997-06-15T00:00:00Z,45.0,0.33
1997-07-15T00:00:00Z,33.0,0.194
1997-07-15T00:00:00Z,39.0,1.108
1997-07-15T00:00:00Z,45.0,0.56
1997-08-15T00:00:00Z,33.0,0.261
1997-08-15T00:00:00Z,39.0,0.372
1997-08-15T00:00:00Z,45.0,0.135
1997-09-15T00:00:00Z,33.0,0.312
1997-09-15T00:00:00Z,39.0,0.672
1997-09-15T00:00:00Z,45.0,-0.08
1997-10-15T00:00:00Z,33.0,0.381
1997-10-15T00:00:00Z,39.0,0.855
1997-10-15T00:00:00Z,45.0,-0.152
1997-11-15T00:00:00Z,33.0,0.096
1997-11-15T00:00:00Z,39.0,-0.09
1997-11-15T00:00:00Z,45.0,-0.467
1997-12-15T00:00:00Z,33.0,0.154
1997-12-15T00:00:00Z,39.0,0.359
1997-12-15T00:00:00Z,45.0,-0.132
1998-01-15T00:00:00Z,33.0,0.356
1998-01-15T00:00:00Z,39.0,-0.616
1998-01-15T00:00:00Z,45.0,-0.952
1998-02-15T00:00:00Z,33.0,0.532
1998-02-15T00:00:00Z,39.0,-0.14
1998-02-15T00:00:00Z,45.0,-0.982
1998-03-15T00:00:00Z,33.0,0.555
1998-03-15T00:00:00Z,39.0,0.976
1998-03-15T00:00:00Z,45.0,0.076
1998-04-15T00:00:00Z,33.0,0.353
1998-04-15T00:00:00Z,39.0,1.1
1998-04-15T00:00:00Z,45.0,0.18
1998-05-15T00:00:00Z,33.0,0.334
1998-05-15T00:00:00Z,39.0,0.561
1998-05-15T00:00:00Z,45.0,0.341
1998-06-15T00:00:00Z,33.0,0.266
1998-06-15T00:00:00Z,39.0,1.384
1998-06-15T00:00:00Z,45.0,0.527
1998-07-15T00:00:00Z,33.0,0.196
1998-07-15T00:00:00Z,39.0,1.369
1998-07-15T00:00:00Z,45.0,0.377
1998-08-15T00:00:00Z,33.0,0.26
1998-08-15T00:00:00Z,39.0,1.4
1998-08-15T00:00:00Z,45.0,0.525
1998-09-15T00:00:00Z,33.0,0.293
1998-09-15T00:00:00Z,39.0,0.843
1998-09-15T00:00:00Z,45.0,0.5
1998-10-15T00:00:00Z,33.0,0.365
1998-10-15T00:00:00Z,39.0,0.93
1998-10-15T00:00:00Z,45.0,0.021
1998-11-15T00:00:00Z,33.0,0.427
1998-11-15T00:00:00Z,39.0,0.098
1998-11-15T00:00:00Z,45.0,-0.722
1998-12-15T00:00:00Z,33.0,0.334
1998-12-15T00:00:00Z,39.0,1.259
1998-12-15T00:00:00Z,45.0,-0.078
1999-01-15T00:00:00Z,33.0,0.188
1999-01-15T00:00:00Z,39.0,0.531
1999-01-15T00:00:00Z,45.0,-0.288
1999-02-15T00:00:00Z,33.0,0.593
1999-02-15T00:00:00Z,39.0,0.084
1999-02-15T00:00:00Z,45.0,-1.252
1999-03-15T00:00:00Z,33.0,0.371
1999-03-15T00:00:00Z,39.0,0.558
1999-03-15T00:00:00Z,45.0,-0.404
1999-04-15T00:00:00Z,33.0,0.482
1999-04-15T00:00:00Z,39.0,2.313
1999-04-15T00:00:00Z,45.0,0.553
1999-05-15T00:00:00Z,33.0,0.241
1999-05-15T00:00:00Z,39.0,2.21
1999-05-15T00:00:00Z,45.0,0.497
1999-06-15T00:00:00Z,33.0,0.385
1999-06-15T00:00:00Z,39.0,2.035
1999-06-15T00:00:00Z,45.0,0.258
1999-07-15T00:00:00Z,33.0,0.399
1999-07-15T00:00:00Z,39.0,1.19
1999-07-15T00:00:00Z,45.0,0.465
1999-08-15T00:00:00Z,33.0,0.382
1999-08-15T00:00:00Z,39.0,1.201
1999-08-15T00:00:00Z,45.0,0.306
1999-09-15T00:00:00Z,33.0,0.32
1999-09-15T00:00:00Z,39.0,1.075
1999-09-15T00:00:00Z,45.0,0.64
1999-10-15T00:00:00Z,33.0,0.3
1999-10-15T00:00:00Z,39.0,0.66
1999-10-15T00:00:00Z,45.0,0.102
1999-11-15T00:00:00Z,33.0,0.303
1999-11-15T00:00:00Z,39.0,-0.093
1999-11-15T00:00:00Z,45.0,-0.641
1999-12-15T00:00:00Z,33.0,0.328
1999-12-15T00:00:00Z,39.0,1.163
1999-12-15T00:00:00Z,45.0,-0.008
2000-01-15T00:00:00Z,33.0,0.421
2000-01-15T00:00:00Z,39.0,0.107
2000-01-15T00:00:00Z,45.0,-0.293
2000-02-15T00:00:00Z,33.0,0.312
2000-02-15T00:00:00Z,39.0,-0.15
2000-02-15T00:00:00Z,45.0,-0.266
2000-03-15T00:00:00Z,33.0,0.524
2000-03-15T00:00:00Z,39.0,1.862
2000-03-15T00:00:00Z,45.0,0.109
2000-04-15T00:00:00Z,33.0,0.376
2000-04-15T00:00:00Z,39.0,0.689
2000-04-15T00:00:00Z,45.0,0.209
2000-05-15T00:00:00Z,33.0,0.429
2000-05-15T00:00:00Z,39.0,1.353
2000-05-15T00:00:00Z,45.0,0.251
2000-06-15T00:00:00Z,33.0,0.342
2000-06-15T00:00:00Z,39.0,1.165
2000-06-15T00:00:00Z,45.0,0.566
2000-07-15T00:00:00Z,33.0,0.324
2000-07-15T00:00:00Z,39.0,1.672
2000-07-15T00:00:00Z,45.0,0.427
2000-08-15T00:00:00Z,33.0,0.304
2000-08-15T00:00:00Z,39.0,1.416
2000-08-15T00:00:00Z,45.0,0.487
2000-09-15T00:00:00Z,33.0,0.265
2000-09-15T00:00:00Z,39.0,0.933
2000-09-15T00:00:00Z,45.0,0.251
2000-10-15T00:00:00Z,33.0,0.306
2000-10-15T00:00:00Z,39.0,0.945
2000-10-15T00:00:00Z,45.0,0.108
2000-11-15T00:00:00Z,33.0,0.472
2000-11-15T00:00:00Z,39.0,0.527
2000-11-15T00:00:00Z,45.0,0.222
2000-12-15T00:00:00Z,33.0,0.221
2000-12-15T00:00:00Z,39.0,0.367
2000-12-15T00:00:00Z,45.0,-0.314
2001-01-15T00:00:00Z,33.0,0.196
2001-01-15T00:00:00Z,39.0,0.325
2001-01-15T00:00:00Z,45.0,-0.409
2001-02-15T00:00:00Z,33.0,0.429
2001-02-15T00:00:00Z,39.0,0.38
2001-02-15T00:00:00Z,45.0,0.232
2001-03-15T00:00:00Z,33.0,0.359
2001-03-15T00:00:00Z,39.0,1.21
2001-03-15T00:00:00Z,45.0,0.541
2001-04-15T00:00:00Z,33.0,0.793
2001-04-15T00:00:00Z,39.0,1.22
2001-04-15T00:00:00Z,45.0,0.182
2001-05-15T00:00:00Z,33.0,0.053
2001-05-15T00:00:00Z,39.0,1.86
2001-05-15T00:00:00Z,45.0,0.471
2001-06-15T00:00:00Z,33.0,0.247
2001-06-15T00:00:00Z,39.0,1.947
2001-06-15T00:00:00Z,45.0,0.418
2001-07-15T00:00:00Z,33.0,0.355
2001-07-15T00:00:00Z,39.0,2.108
2001-07-15T00:00:00Z,45.0,0.776
2001-08-15T00:00:00Z,33.0,0.372
2001-08-15T00:00:00Z,39.0,1.842
2001-08-15T00:00:00Z,45.0,0.161
2001-09-15T00:00:00Z,33.0,0.365
2001-09-15T00:00:00Z,39.0,1.147
2001-09-15T00:00:00Z,45.0,0.43
2001-10-15T00:00:00Z,33.0,0.16
2001-10-15T00:00:00Z,39.0,1.273
2001-10-15T00:00:00Z,45.0,0.108
2001-11-15T00:00:00Z,33.0,0.396
2001-11-15T00:00:00Z,39.0,0.077
2001-11-15T00:00:00Z,45.0,-0.725
2001-12-15T00:00:00Z,33.0,0.469
2001-12-15T00:00:00Z,39.0,0.443
2001-12-15T00:00:00Z,45.0,-0.257
2002-01-15T00:00:00Z,33.0,0.51
2002-01-15T00:00:00Z,39.0,0.968
2002-01-15T00:00:00Z,45.0,-0.312
2002-02-15T00:00:00Z,33.0,0.465
2002-02-15T00:00:00Z,39.0,0.339
